,Year,Month,DOMESTIC,INTERNATIONAL,TOTAL,IdPeriod
0,2002,10,57505033,18675962,76180995,200210
1,2002,11,54513457,17399938,71913395,200211
2,2002,12,56713015,17964485,74677499,200212
4,2003,1,56191300,17968572,74159872,200301
5,2003,2,50088434,15587880,65676314,200302
6,2003,3,57592901,17753174,75346075,200303
7,2003,4,54639679,15528761,70168440,200304
8,2003,5,55349897,15629821,70979718,200305
9,2003,6,56555517,17191579,73747096,200306
10,2003,7,59617048,18701759,78318807,200307
11,2003,8,59634190,19144885,78779075,200308
12,2003,9,54973852,17820478,72794329,200309
13,2003,10,58001020,17694417,75695437,200310
14,2003,11,55785892,16801272,72587163,200311
15,2003,12,58842551,17648530,76491081,200312
17,2004,1,58306593,17988081,76294673,200401
18,2004,2,56180696,16923112,73103808,200402
19,2004,3,61833579,18362220,80195799,200403
20,2004,4,60067863,18457525,78525388,200404
21,2004,5,60923099,19844360,80767459,200405
22,2004,6,61629864,20355959,81985822,200406
23,2004,7,64095669,21731193,85826863,200407
24,2004,8,64479721,21640665,86120386,200408
25,2004,9,57694884,19502122,77197006,200409
26,2004,10,61604719,19883889,81488607,200410
27,2004,11,59431353,18848375,78279728,200411
28,2004,12,62054841,20254013,82308853,200412
30,2005,1,59580514,20571388,80151902,200501
31,2005,2,55964342,18651403,74615745,200502
32,2005,3,63743171,21201138,84944309,200503
33,2005,4,61262216,20990887,82253103,200504
34,2005,5,63160148,21943039,85103187,200505
35,2005,6,63378463,22373102,85751565,200506
36,2005,7,65813398,23792009,89605407,200507
37,2005,8,65309256,23418626,88727882,200508
38,2005,9,58674828,21425051,80099879,200509
39,2005,10,60392331,21033727,81426057,200510
40,2005,11,58886853,19401869,78288722,200511
41,2005,12,60889086,21153995,82043081,200512
43,2006,1,59096204,21396430,80492634,200601
44,2006,2,53733108,19241787,72974894,200602
45,2006,3,62257065,22367092,84624157,200603
46,2006,4,59917615,22246457,82164072,200604
47,2006,5,61284297,23102699,84386996,200605
48,2006,6,61692651,23821736,85514388,200606
49,2006,7,64111164,25185579,89296743,200607
50,2006,8,64332983,24888446,89221429,200608
51,2006,9,58383462,22579257,80962719,200609
52,2006,10,60802722,22654609,83457331,200610
53,2006,11,58912308,20821119,79733427,200611
54,2006,12,61161328,22721069,83882396,200612
56,2007,1,60618488,22960840,83579327,200701
57,2007,2,54490060,20624609,75114669,200702
58,2007,3,63131522,23667344,86798866,200703
59,2007,4,61124424,23325666,84450090,200704
60,2007,5,62774346,24370452,87144798,200705
61,2007,6,62620840,25295941,87916781,200706
62,2007,7,65566709,26624388,92191098,200707
63,2007,8,65556234,26525647,92081881,200708
64,2007,9,59796275,23883235,83679510,200709
65,2007,10,62497723,23713623,86211346,200710
66,2007,11,60801594,22421800,83223395,200711
67,2007,12,62270682,24391947,86662629,200712
69,2008,1,60635551,24474296,85109847,200801
70,2008,2,57170275,22832413,80002688,200802
71,2008,3,63249344,25295113,88544457,200803
72,2008,4,60127860,24913253,85041112,200804
73,2008,5,61778284,26236332,88014616,200805
74,2008,6,62328392,26758910,89087301,200806
75,2008,7,64884624,28113326,92997950,200807
76,2008,8,63117937,27931634,91049571,200808
77,2008,9,53906431,24055799,77962230,200809
78,2008,10,56299337,23804966,80104304,200810
79,2008,11,53450483,22297823,75748306,200811
80,2008,12,55361168,23773025,79134193,200812
82,2009,1,53952827,23989981,77942808,200901
